location_id,median
1,22.0
2,29.0
3,16.5
4,29.0
5,20.0
6,15.5
7,19.5
8,22.0
9,17.0
10,23.0
11,23.0
12,29.0
13,20.0
14,17.0
15,20.0
16,17.0
17,23.0
18,21.0
19,25.0
20,17.0
21,18.5
22,14.5
23,19.5
24,18.0
25,27.0
26,22.5
27,26.5
28,31.0
29,26.0
30,15.0
31,26.0
32,16.0
33,25.0
34,20.0
35,12.0
36,19.0
37,14.0
38,15.5
39,22.0
40,14.0
41,20.0
42,19.0
43,25.0
44,30.5
45,26.0
46,23.5
47,31.0
48,21.0
49,23.0
50,22.0
51,18.0
52,25.0
53,26.5
54,37.0
55,41.0
56,35.0
57,22.5
58,22.0
59,20.0
60,24.0
61,18.0
62,26.5
63,28.5
64,21.0
65,17.5
66,27.0
67,28.0
68,21.0
69,19.5
70,19.0
71,28.5
72,25.0
73,24.5
74,26.0
75,23.5
76,20.5
77,25.5
78,20.0
79,21.0
80,14.0
81,23.0
82,23.0
83,18.0
84,20.0
85,29.5
